interaction_id,escalated,channel,client_type,issue_type,fcr,csat_score,aht_seconds,ad_spend_recovered,sentiment,date,probabilidad_escalamiento,prediccion_050,nivel_riesgo
2548,0,Chat,User,Page Management,1,4,683,0.0,Neutral,2025-04-15,0.20298623439519223,0,Bajo
4732,0,Chat,User,Account Access,1,5,964,0.0,Negative,2025-04-28,0.22952860972872138,0,Bajo
9445,0,Email,User,Ad Billing,1,4,408,0.0,Positive,2025-04-09,0.19999767851908368,0,Bajo
1949,0,Chat,Business Page,General Support,0,5,484,0.0,Negative,2025-04-10,0.20337762936196407,0,Bajo
4518,0,Voice,Advertiser,Ad Billing,1,2,606,830.66,Neutral,2025-04-11,0.2382271498714511,0,Bajo
4909,1,Email,User,Ad Billing,0,4,493,0.0,Negative,2025-04-25,0.21301745506888028,0,Bajo
3280,0,Email,Advertiser,Page Management,1,5,611,0.0,Positive,2025-04-25,0.20028232950315866,0,Bajo
501,1,Voice,Business Page,General Support,0,2,690,0.0,Positive,2025-04-16,0.19680857940920524,0,Bajo
3182,0,Chat,Business Page,Page Management,1,3,769,0.0,Neutral,2025-04-17,0.19432749537466942,0,Bajo
2315,0,Email,User,Page Management,1,5,409,0.0,Negative,2025-04-04,0.2164175586498356,0,Bajo
298,0,Email,Advertiser,Content Violation,1,4,649,0.0,Negative,2025-04-14,0.19083984357761907,0,Bajo
8,0,Email,Advertiser,Account Access,0,2,548,0.0,Negative,2025-04-05,0.21366883674822446,0,Bajo
1581,0,Chat,Business Page,Content Violation,0,3,248,0.0,Negative,2025-04-16,0.2059462912895891,0,Bajo
5731,1,Chat,Advertiser,Account Access,1,4,611,0.0,Negative,2025-04-10,0.21454037508091758,0,Bajo
5689,0,Voice,Business Page,Ad Billing,0,1,750,0.0,Positive,2025-04-06,0.18850895221392747,0,Bajo
8573,1,Chat,Advertiser,Page Management,1,4,512,0.0,Positive,2025-04-08,0.1958402755179128,0,Bajo
308,0,Chat,Advertiser,Page Management,1,4,690,0.0,Positive,2025-04-23,0.1937465565277113,0,Bajo
2319,0,Email,Business Page,Ad Billing,1,5,609,0.0,Negative,2025-04-03,0.20429777746580752,0,Bajo
4457,0,Chat,Advertiser,Ad Billing,1,3,536,594.68,Positive,2025-04-01,0.21523744062257244,0,Bajo
2608,0,Email,Advertiser,General Support,1,4,475,0.0,Positive,2025-04-20,0.19734649725721218,0,Bajo
5816,0,Chat,Advertiser,Account Access,0,5,470,0.0,Negative,2025-04-26,0.21193103929061197,0,Bajo
9665,0,Chat,Advertiser,General Support,0,4,533,0.0,Positive,2025-04-04,0.18988870338381852,0,Bajo
9834,0,Voice,Business Page,Account Access,1,4,779,0.0,Negative,2025-04-10,0.1965786116291639,0,Bajo
